Div,Date,HomeTeam,FTHG
E0,02/12/2017,Brighton,1
E0,02/12/2017,Chelsea,3
E0,02/12/2017,Everton,2
E0,02/12/2017,Leicester,1
E0,02/12/2017,Stoke,2
E0,02/12/2017,Watford,1
E0,02/12/2017,West Brom,0
E0,03/12/2017,Bournemouth,1
E0,03/12/2017,Man City,2
E0,09/12/2017,Burnley,1
E0,09/12/2017,Crystal Palace,2
E0,09/12/2017,Huddersfield,2
E0,09/12/2017,Newcastle,2
E0,09/12/2017,Swansea,1
E0,09/12/2017,Tottenham,5
E0,09/12/2017,West Ham,1
E0,10/12/2017,Liverpool,1
E0,10/12/2017,Man United,1
E0,10/12/2017,Southampton,1
E0,12/12/2017,Burnley,1
E0,12/12/2017,Crystal Palace,2
E0,12/12/2017,Huddersfield,1
E0,13/12/2017,Liverpool,0
E0,13/12/2017,Man United,1
E0,13/12/2017,Newcastle,0
E0,13/12/2017,Southampton,1
E0,13/12/2017,Swansea,0
E0,13/12/2017,Tottenham,2
E0,13/12/2017,West Ham,0
E0,16/12/2017,Arsenal,1
E0,16/12/2017,Brighton,0
E0,16/12/2017,Chelsea,1
E0,16/12/2017,Leicester,0
E0,16/12/2017,Man City,4
E0,16/12/2017,Stoke,0
E0,16/12/2017,Watford,1
E0,17/12/2017,Bournemouth,0
E0,17/12/2017,West Brom,1
E0,18/12/2017,Everton,3
E0,22/12/2017,Arsenal,3
E0,23/12/2017,Brighton,1
E0,23/12/2017,Burnley,0
E0,23/12/2017,Everton,0
E0,23/12/2017,Leicester,2
E0,23/12/2017,Man City,4
E0,23/12/2017,Southampton,1
E0,23/12/2017,Stoke,3
E0,23/12/2017,Swansea,1
E0,23/12/2017,West Ham,2
E0,26/12/2017,Bournemouth,3
E0,26/12/2017,Chelsea,2
E0,26/12/2017,Huddersfield,1
E0,26/12/2017,Liverpool,5
E0,26/12/2017,Man United,2
E0,26/12/2017,Tottenham,5
E0,26/12/2017,Watford,2
E0,26/12/2017,West Brom,0
E0,27/12/2017,Newcastle,0
E0,28/12/2017,Crystal Palace,2
E0,30/12/2017,Bournemouth,2
E0,30/12/2017,Chelsea,5
E0,30/12/2017,Huddersfield,0
E0,30/12/2017,Liverpool,2
E0,30/12/2017,Man United,0
E0,30/12/2017,Newcastle,0
E0,30/12/2017,Watford,1
E0,31/12/2017,Crystal Palace,0
E0,31/12/2017,West Brom,1
E0,01/01/2018,Brighton,2
E0,01/01/2018,Burnley,1
E0,01/01/2018,Everton,0
E0,01/01/2018,Leicester,3
E0,01/01/2018,Stoke,0
E0,02/01/2018,Man City,3
E0,02/01/2018,Southampton,1
E0,02/01/2018,Swansea,0
E0,02/01/2018,West Ham,2
E0,03/01/2018,Arsenal,2
E0,04/01/2018,Tottenham,1
E0,13/01/2018,Chelsea,0
E0,13/01/2018,Crystal Palace,1
E0,13/01/2018,Huddersfield,1
E0,13/01/2018,Newcastle,1
E0,13/01/2018,Tottenham,4
E0,13/01/2018,Watford,2
E0,13/01/2018,West Brom,2
E0,14/01/2018,Bournemouth,2
E0,14/01/2018,Liverpool,4
E0,15/01/2018,Man United,3
E0,20/01/2018,Arsenal,4
E0,20/01/2018,Brighton,0
E0,20/01/2018,Burnley,0
E0,20/01/2018,Everton,1
E0,20/01/2018,Leicester,2
E0,20/01/2018,Man City,3
E0,20/01/2018,Stoke,2
E0,20/01/2018,West Ham,1
E0,21/01/2018,Southampton,1
E0,22/01/2018,Swansea,1
E0,30/01/2018,Huddersfield,0
E0,30/01/2018,Swansea,3
E0,30/01/2018,West Ham,1
E0,31/01/2018,Chelsea,0
E0,31/01/2018,Everton,2
E0,31/01/2018,Man City,3
E0,31/01/2018,Newcastle,1
E0,31/01/2018,Southampton,1
E0,31/01/2018,Stoke,0
E0,31/01/2018,Tottenham,2
E0,03/02/2018,Arsenal,5
E0,03/02/2018,Bournemouth,2
E0,03/02/2018,Brighton,3
E0,03/02/2018,Burnley,1
E0,03/02/2018,Leicester,1
E0,03/02/2018,Man United,2
E0,03/02/2018,West Brom,2
E0,04/02/2018,Crystal Palace,1
E0,04/02/2018,Liverpool,2
E0,05/02/2018,Watford,4
E0,10/02/2018,Everton,3
E0,10/02/2018,Man City,5
E0,10/02/2018,Stoke,1
E0,10/02/2018,Swansea,1
E0,10/02/2018,Tottenham,1
E0,10/02/2018,West Ham,2
E0,11/02/2018,Huddersfield,4
E0,11/02/2018,Newcastle,1
E0,11/02/2018,Southampton,0
E0,12/02/2018,Chelsea,3
E0,24/02/2018,Bournemouth,2
E0,24/02/2018,Brighton,4
E0,24/02/2018,Burnley,1
E0,24/02/2018,Leicester,1
E0,24/02/2018,Liverpool,4
E0,24/02/2018,Watford,1
E0,24/02/2018,West Brom,1
E0,25/02/2018,Crystal Palace,0
E0,25/02/2018,Man United,2
E0,01/03/2018,Arsenal,0
E0,03/03/2018,Burnley,2
E0,03/03/2018,Leicester,1
E0,03/03/2018,Liverpool,2
E0,03/03/2018,Southampton,0
E0,03/03/2018,Swansea,4
E0,03/03/2018,Tottenham,2
E0,03/03/2018,Watford,1
E0,04/03/2018,Brighton,2
E0,04/03/2018,Man City,1
E0,05/03/2018,Crystal Palace,2
E0,10/03/2018,Chelsea,2
E0,10/03/2018,Everton,2
E0,10/03/2018,Huddersfield,0
E0,10/03/2018,Man United,2
E0,10/03/2018,Newcastle,3
E0,10/03/2018,West Brom,1
E0,10/03/2018,West Ham,0
E0,11/03/2018,Arsenal,3
E0,11/03/2018,Bournemouth,1
E0,12/03/2018,Stoke,0
E0,17/03/2018,Bournemouth,2
E0,17/03/2018,Huddersfield,0
E0,17/03/2018,Liverpool,5
E0,17/03/2018,Stoke,1
E0,31/03/2018,Brighton,0
E0,31/03/2018,Crystal Palace,1
E0,31/03/2018,Everton,1
E0,31/03/2018,Man United,2
E0,31/03/2018,Newcastle,1
E0,31/03/2018,Watford,2
E0,31/03/2018,West Brom,1
E0,31/03/2018,West Ham,3
E0,01/04/2018,Arsenal,3
E0,01/04/2018,Chelsea,1
E0,07/04/2018,Bournemouth,2
E0,07/04/2018,Brighton,1
E0,07/04/2018,Everton,0
E0,07/04/2018,Leicester,1
E0,07/04/2018,Man City,2
E0,07/04/2018,Stoke,1
E0,07/04/2018,Watford,1
E0,07/04/2018,West Brom,1
E0,08/04/2018,Arsenal,3
E0,08/04/2018,Chelsea,1
E0,14/04/2018,Burnley,2
E0,14/04/2018,Crystal Palace,3
E0,14/04/2018,Huddersfield,1
E0,14/04/2018,Liverpool,3
E0,14/04/2018,Southampton,2
E0,14/04/2018,Swansea,1
E0,14/04/2018,Tottenham,1
E0,15/04/2018,Man United,0
E0,15/04/2018,Newcastle,2
E0,16/04/2018,West Ham,1
E0,17/04/2018,Brighton,1
E0,18/04/2018,Bournemouth,0
E0,19/04/2018,Burnley,1
E0,19/04/2018,Leicester,0
E0,21/04/2018,Watford,0
E0,21/04/2018,West Brom,2
E0,22/04/2018,Arsenal,4
E0,22/04/2018,Man City,5
E0,22/04/2018,Stoke,1
E0,23/04/2018,Everton,1
E0,28/04/2018,Burnley,0
E0,28/04/2018,Crystal Palace,5
E0,28/04/2018,Huddersfield,0
E0,28/04/2018,Liverpool,0
E0,28/04/2018,Newcastle,0
E0,28/04/2018,Southampton,2
E0,28/04/2018,Swansea,0
E0,29/04/2018,Man United,2
E0,29/04/2018,West Ham,1
E0,30/04/2018,Tottenham,2
E0,04/05/2018,Brighton,1
E0,05/05/2018,Bournemouth,1
E0,05/05/2018,Everton,1
E0,05/05/2018,Leicester,0
E0,05/05/2018,Stoke,1
E0,05/05/2018,Watford,2
E0,05/05/2018,West Brom,1
E0,06/05/2018,Arsenal,5
E0,06/05/2018,Chelsea,1
E0,06/05/2018,Man City,0
E0,08/05/2018,Swansea,0
E0,09/05/2018,Chelsea,1
E0,09/05/2018,Leicester,3
E0,09/05/2018,Man City,3
E0,09/05/2018,Tottenham,1
E0,10/05/2018,West Ham,0
E0,13/05/2018,Burnley,1
E0,13/05/2018,Crystal Palace,2
E0,13/05/2018,Huddersfield,0
E0,13/05/2018,Liverpool,4
E0,13/05/2018,Man United,1
E0,13/05/2018,Newcastle,3
E0,13/05/2018,Southampton,0
E0,13/05/2018,Swansea,1
E0,13/05/2018,Tottenham,5
E0,13/05/2018,West Ham,3
E0,10/08/2018,Man United,2
E0,11/08/2018,Bournemouth,2
E0,11/08/2018,Fulham,0
E0,11/08/2018,Huddersfield,0
E0,11/08/2018,Newcastle,1
E0,11/08/2018,Watford,2
E0,11/08/2018,Wolves,2
E0,12/08/2018,Arsenal,0
E0,12/08/2018,Liverpool,4
E0,12/08/2018,Southampton,0
E0,18/08/2018,Cardiff,0
E0,18/08/2018,Chelsea,3
E0,18/08/2018,Everton,2
E0,18/08/2018,Leicester,2
E0,18/08/2018,Tottenham,3
E0,18/08/2018,West Ham,1
E0,19/08/2018,Brighton,3
E0,19/08/2018,Burnley,1
E0,19/08/2018,Man City,6
E0,20/08/2018,Crystal Palace,0
E0,25/08/2018,Arsenal,3
E0,25/08/2018,Bournemouth,2
E0,25/08/2018,Huddersfield,0
E0,25/08/2018,Liverpool,1
E0,25/08/2018,Southampton,1
E0,25/08/2018,Wolves,1
E0,26/08/2018,Fulham,4
E0,26/08/2018,Newcastle,1
E0,26/08/2018,Watford,2
E0,27/08/2018,Man United,0
E0,01/09/2018,Brighton,2
E0,01/09/2018,Chelsea,2
E0,01/09/2018,Crystal Palace,0
E0,01/09/2018,Everton,1
E0,01/09/2018,Leicester,1
E0,01/09/2018,Man City,2
E0,01/09/2018,West Ham,0
E0,02/09/2018,Burnley,0
E0,02/09/2018,Cardiff,2
E0,02/09/2018,Watford,2
